,0,1,2,3,4,5,6,7,8,9,10,11,12,y
150,42,60,24,72,97,36,30,42,20,80,59,65,78,0.7341204759320755
151,42,60,24,49,97,37,30,42,66,80,59,65,78,0.69155467767443
152,42,60,24,49,33,37,30,42,20,21,2,65,4,0.7239620453498145
153,23,16,42,49,33,36,44,78,66,80,2,27,78,0.5539307026811477
154,42,60,42,49,97,37,30,42,66,80,59,27,4,0.8066119957906034
155,42,60,24,49,33,36,30,78,66,21,59,27,78,0.7567214803061688
156,42,60,42,72,33,37,30,42,20,21,2,65,78,0.8106994118150849
157,42,60,24,49,33,37,44,78,66,80,2,27,78,0.5944785542289006
158,42,16,42,49,33,36,30,78,66,80,59,27,4,0.48602464434947457
159,42,60,24,72,33,37,30,78,66,80,2,65,78,0.69155467767443
160,42,16,42,72,33,36,30,42,66,21,59,27,78,0.3236958481705256
161,23,16,24,49,97,37,44,78,20,21,2,65,78,0.4638100554329457
162,23,16,24,72,97,36,44,78,20,80,59,65,4,0.44219655654857315
163,23,16,24,72,97,37,30,78,66,21,59,27,78,0.6040960028987277
164,23,16,24,72,97,37,30,78,20,80,59,65,4,0.579674552640842
165,23,16,42,49,97,37,44,42,66,80,59,65,78,0.6110944141468955
166,23,60,24,72,97,36,44,78,20,80,59,65,78,0.502966810925701
167,42,60,24,72,97,37,30,42,66,80,2,65,78,0.5593748659044223
168,42,60,24,49,33,37,30,78,66,80,59,65,78,0.6383409902063966
169,42,16,24,49,97,37,30,78,66,80,59,65,4,0.6141513889512056
170,42,60,42,49,33,36,44,42,66,21,2,27,78,0.6757631705966505
171,42,16,24,72,97,36,30,78,66,80,2,27,78,0.5323601388476159
172,42,16,24,49,97,37,30,78,20,21,59,27,78,0.5746168048751318
173,42,60,24,49,33,37,30,78,20,80,59,27,78,0.662418960057558
174,42,60,24,72,97,37,44,78,20,80,59,65,78,0.6025846892450647
175,42,60,42,49,97,36,44,78,20,21,2,27,78,0.48889270520193046
176,42,60,42,49,33,36,44,78,20,21,59,65,4,0.3843458842693779
177,42,60,24,49,97,37,30,78,66,21,2,27,4,0.5562663691750258
178,42,60,24,49,97,36,30,78,20,21,59,27,4,0.294688935706175
179,42,60,42,49,97,37,30,78,20,21,59,65,4,0.6790691681521472
180,42,60,24,72,33,37,30,78,20,21,59,27,4,0.5056545447005489
181,42,60,24,72,33,37,30,78,66,80,59,27,78,0.29339229730671446
182,42,60,42,72,97,36,44,78,20,21,59,65,78,0.4839294144121472
183,42,60,24,72,33,37,30,78,20,21,59,65,78,0.4445236354885952
184,42,60,24,72,97,37,44,78,20,80,2,65,78,0.4428749298081647
185,42,16,24,72,97,37,44,78,66,80,59,65,78,0.41721695062976144
186,42,16,24,49,33,37,44,78,66,21,59,65,78,0.5026662655698176
187,42,60,24,49,33,37,44,78,20,80,59,27,78,0.6589412216190893
188,42,60,24,49,97,37,30,78,20,80,2,65,78,0.5475677296417308
189,42,60,24,72,33,37,30,78,20,80,2,27,4,0.4351895584261594
190,23,60,42,49,97,37,44,78,20,21,2,65,4,0.5727791852428472
191,42,60,24,72,97,37,30,78,20,80,2,65,78,0.597028895297371
192,42,60,24,49,97,37,44,78,20,80,2,27,4,0.7713279810681274
193,42,60,24,49,97,36,30,78,66,21,59,65,4,0.8278734273940057
194,42,60,24,72,97,37,44,78,20,80,2,65,78,0.6980893909172088
195,42,60,24,49,33,36,30,78,66,80,59,65,4,0.6713408610396913
196,23,16,24,72,97,37,30,42,20,80,2,65,78,0.1489845863194668
197,42,16,24,72,97,37,30,42,20,21,2,65,78,0.6602464468927961
198,42,60,24,72,33,37,30,78,20,80,2,65,4,0.6300974624838546
199,42,60,24,72,97,36,44,42,20,21,2,65,4,0.597741616733557
200,42,60,24,72,97,37,30,78,66,21,2,27,78,0.5868532909666179
201,42,60,42,49,33,37,44,78,66,21,59,27,78,0.711605340980053
202,42,60,24,49,97,37,30,78,20,80,2,27,4,0.5653514234862748
203,42,60,24,49,97,36,30,78,66,21,2,27,4,0.7578034434514267
204,42,60,24,72,97,37,30,78,20,21,2,65,78,0.535975269312852
205,42,60,42,49,97,37,30,78,20,21,2,65,78,0.6534712977730766
206,42,60,24,72,97,37,30,78,20,80,59,27,78,0.6498132322569999
207,42,60,42,49,33,37,30,78,20,21,59,27,78,0.6656648488137222
208,42,60,42,72,33,37,30,78,20,80,2,27,78,0.673453265405121
209,42,16,24,72,97,37,30,78,66,80,59,27,4,0.6693315012040449
210,42,60,24,49,97,37,30,78,20,80,2,65,78,0.7251298785967535
211,42,60,42,72,97,37,30,78,20,21,2,65,78,0.7035679016374675
212,42,60,24,49,97,37,44,78,20,80,2,27,78,0.797569876530195
213,42,60,24,72,33,36,30,78,20,80,2,65,78,0.8525782492592827
214,42,16,24,72,97,37,44,78,66,80,59,27,4,0.8451075524518696
215,42,60,24,72,33,36,30,78,20,80,59,27,4,0.8126572497256448
216,42,60,24,49,97,37,30,42,20,80,2,27,4,0.800884461639548
217,42,60,24,72,33,37,30,78,66,21,59,27,4,0.6966982955418213
218,42,60,24,72,33,36,30,78,20,21,59,27,78,0.6539865183831625
219,42,60,24,49,97,37,30,78,20,21,2,27,4,0.5225194280493405
220,42,60,24,49,33,37,30,78,20,21,2,65,4,0.5796659650869859
221,42,60,42,49,33,37,44,78,66,80,2,27,78,0.5889742815266833
222,42,16,24,49,33,36,30,78,20,21,59,65,4,0.6653127815327523
223,42,16,24,49,33,36,30,78,20,21,59,65,4,0.29805504274061434
224,42,16,24,49,33,37,30,78,66,21,59,65,78,0.25177965704180577
225,42,16,24,72,33,37,30,78,66,80,2,27,78,0.4672448581409637
226,42,16,24,72,33,37,30,78,66,21,2,27,78,0.5137177446658725
227,23,60,24,49,97,37,30,78,20,21,2,27,78,0.526881628127357
228,42,16,24,72,33,37,44,78,66,21,59,27,78,0.28157657416977716
229,23,16,24,72,33,36,30,78,66,21,59,27,4,0.4155167230242445
230,23,16,24,72,33,36,30,78,20,21,59,65,78,0.3224679061242539
231,23,16,24,49,33,36,30,78,20,21,59,27,78,0.3907775536619836
232,23,16,42,49,33,37,30,78,66,21,59,65,4,0.44495298599699984
233,23,16,24,49,33,37,44,78,66,21,59,65,4,0.3917478854032123
234,42,16,24,49,33,37,44,78,20,80,59,65,78,0.4123223561931671
235,42,16,24,72,33,37,44,78,20,21,59,65,78,0.23096475037491035
236,23,60,24,72,97,36,30,78,66,80,59,65,78,0.37654029460909716
237,23,16,24,49,33,37,30,78,66,21,59,65,78,0.21879695995700305
238,23,16,24,72,97,36,30,78,66,80,59,27,78,0.22684298617383444
239,23,16,24,49,33,37,30,78,20,80,59,27,78,0.405031986463362
240,42,60,24,49,97,37,30,78,20,21,2,65,78,0.5395646384757399
241,42,60,24,72,97,36,30,42,66,80,59,27,78,0.6946202393529861
242,42,60,24,49,97,36,30,78,20,80,59,27,4,0.6746726205771464
243,42,60,24,49,97,36,44,78,66,80,59,27,78,0.5414795413354593
244,42,60,24,49,97,36,30,78,66,80,59,65,4,0.5938431153405397
245,42,60,24,72,97,37,30,78,20,21,59,27,78,0.3675840454503696
246,42,60,24,72,97,36,44,78,20,21,59,27,78,0.37380103890916266
247,42,60,24,72,97,36,44,78,20,80,59,27,78,0.3614872695902417
248,42,60,24,49,97,37,30,42,20,80,59,65,4,0.49671546929031346
249,42,60,24,49,97,37,44,78,20,80,2,65,4,0.9925550644949352
250,42,60,24,72,97,36,44,78,20,80,59,27,4,0.8645828863480742
251,23,60,24,72,97,36,30,78,20,80,59,27,78,0.4445751574136816
252,42,60,24,72,97,36,30,78,66,80,59,65,4,0.636958481705255
253,42,60,42,49,97,36,44,78,20,80,2,65,78,0.39312180635049737
254,42,60,24,72,97,37,44,78,20,80,2,27,4,0.5156240606513457
255,42,60,42,72,97,36,44,78,66,80,59,65,78,0.6248508007662904
256,42,16,24,72,97,37,44,78,20,80,59,65,4,0.6150358505907532
257,42,60,24,49,97,36,44,78,20,80,59,65,78,0.6095831004932324
258,42,60,24,49,97,36,30,78,20,21,2,65,78,0.5302305614133043
259,42,60,24,72,97,36,44,78,66,80,59,27,78,0.5541797261119445
260,42,60,24,72,97,36,30,78,20,21,59,27,4,0.5487956723676126
261,42,60,42,49,97,36,30,78,20,21,2,27,4,0.4736250056084828
262,42,60,24,72,97,36,44,78,66,21,2,65,78,0.41385943046956813
263,42,60,24,72,97,37,30,78,66,21,2,27,4,0.4224979605239202
264,42,60,24,72,97,36,30,78,20,21,2,27,78,0.3807307544837518
265,42,60,24,49,97,37,30,78,20,80,59,65,4,0.562036838376922
266,42,60,24,72,97,36,44,78,66,21,59,65,78,0.6044566570539435
267,23,60,42,72,97,37,44,78,20,80,59,65,4,0.558713666393323
268,42,60,42,49,97,37,30,78,66,80,59,65,78,0.48798248226003427
269,42,60,24,49,97,36,30,78,66,80,2,27,78,0.7790906356775673
270,42,60,24,72,97,36,30,78,66,21,2,27,78,0.41434888977730555
271,42,60,24,72,97,36,44,78,20,21,59,65,78,0.6595852473816965
272,42,16,24,49,97,36,30,78,66,21,2,27,78,0.5654544673364479
273,23,60,24,72,97,37,30,78,66,80,59,65,78,0.7515091667651989
