,0,1,2,3,4,5,6,7,8,9,10,11,12
401,42,16,42,72,97,36,44,42,20,80,2,27,78
402,23,16,42,72,97,36,44,42,20,80,2,27,78
403,42,60,42,72,97,36,44,42,20,80,2,27,78
404,23,60,42,72,97,36,44,42,20,80,2,27,78
405,42,16,24,49,97,36,44,42,20,80,2,27,78
406,23,16,24,49,97,36,44,42,20,80,2,27,78
407,42,60,24,49,97,36,44,42,20,80,2,27,78
408,23,60,24,49,97,36,44,42,20,80,2,27,78
409,42,16,42,49,97,36,44,42,20,80,2,27,78
410,23,16,42,49,97,36,44,42,20,80,2,27,78
411,42,60,42,49,97,36,44,42,20,80,2,27,78
412,23,60,42,49,97,36,44,42,20,80,2,27,78
413,42,16,24,72,33,36,44,42,20,80,2,27,78
414,23,16,24,72,33,36,44,42,20,80,2,27,78
415,42,60,24,72,33,36,44,42,20,80,2,27,78
416,23,60,24,72,33,36,44,42,20,80,2,27,78
417,42,16,42,72,33,36,44,42,20,80,2,27,78
418,23,16,42,72,33,36,44,42,20,80,2,27,78
419,42,60,42,72,33,36,44,42,20,80,2,27,78
420,23,60,42,72,33,36,44,42,20,80,2,27,78
421,42,16,24,49,33,36,44,42,20,80,2,27,78
422,23,16,24,49,33,36,44,42,20,80,2,27,78
423,42,60,24,49,33,36,44,42,20,80,2,27,78
424,23,60,24,49,33,36,44,42,20,80,2,27,78
425,42,16,42,49,33,36,44,42,20,80,2,27,78
426,23,16,42,49,33,36,44,42,20,80,2,27,78
427,42,60,42,49,33,36,44,42,20,80,2,27,78
428,23,60,42,49,33,36,44,42,20,80,2,27,78
429,42,16,24,72,97,37,30,42,20,80,2,27,78
430,23,16,24,72,97,37,30,42,20,80,2,27,78
431,42,60,24,72,97,37,30,42,20,80,2,27,78
432,23,60,24,72,97,37,30,42,20,80,2,27,78
433,42,16,42,72,97,37,30,42,20,80,2,27,78
434,23,16,42,72,97,37,30,42,20,80,2,27,78
435,42,60,42,72,97,37,30,42,20,80,2,27,78
436,23,60,42,72,97,37,30,42,20,80,2,27,78
437,42,16,24,49,97,37,30,42,20,80,2,27,78
438,23,16,24,49,97,37,30,42,20,80,2,27,78
439,42,60,24,49,97,37,30,42,20,80,2,27,78
440,23,60,24,49,97,37,30,42,20,80,2,27,78
441,42,16,42,49,97,37,30,42,20,80,2,27,78
442,23,16,42,49,97,37,30,42,20,80,2,27,78
443,42,60,42,49,97,37,30,42,20,80,2,27,78
444,23,60,42,49,97,37,30,42,20,80,2,27,78
445,42,16,24,72,33,37,30,42,20,80,2,27,78
446,23,16,24,72,33,37,30,42,20,80,2,27,78
447,42,60,24,72,33,37,30,42,20,80,2,27,78
448,23,60,24,72,33,37,30,42,20,80,2,27,78
449,42,16,42,72,33,37,30,42,20,80,2,27,78
450,23,16,42,72,33,37,30,42,20,80,2,27,78
451,42,60,42,72,33,37,30,42,20,80,2,27,78
452,23,60,42,72,33,37,30,42,20,80,2,27,78
453,42,16,24,49,33,37,30,42,20,80,2,27,78
454,23,16,24,49,33,37,30,42,20,80,2,27,78
455,42,60,24,49,33,37,30,42,20,80,2,27,78
456,23,60,24,49,33,37,30,42,20,80,2,27,78
457,42,16,42,49,33,37,30,42,20,80,2,27,78
458,23,16,42,49,33,37,30,42,20,80,2,27,78
459,42,60,42,49,33,37,30,42,20,80,2,27,78
460,23,60,42,49,33,37,30,42,20,80,2,27,78
461,42,16,24,72,97,36,30,42,20,80,2,27,78
462,23,16,24,72,97,36,30,42,20,80,2,27,78
463,42,60,24,72,97,36,30,42,20,80,2,27,78
464,23,60,24,72,97,36,30,42,20,80,2,27,78
465,42,16,42,72,97,36,30,42,20,80,2,27,78
466,23,16,42,72,97,36,30,42,20,80,2,27,78
467,42,60,42,72,97,36,30,42,20,80,2,27,78
468,42,16,24,49,97,36,30,42,20,80,2,27,78
469,23,16,24,49,97,36,30,42,20,80,2,27,78
470,42,60,24,49,97,36,30,42,20,80,2,27,78
471,23,60,24,49,97,36,30,42,20,80,2,27,78
472,42,16,42,49,97,36,30,42,20,80,2,27,78
473,23,16,42,49,97,36,30,42,20,80,2,27,78
474,42,60,42,49,97,36,30,42,20,80,2,27,78
475,23,60,42,49,97,36,30,42,20,80,2,27,78
476,42,16,24,72,33,36,30,42,20,80,2,27,78
477,23,16,24,72,33,36,30,42,20,80,2,27,78
478,42,60,24,72,33,36,30,42,20,80,2,27,78
479,23,60,24,72,33,36,30,42,20,80,2,27,78
480,42,16,42,72,33,36,30,42,20,80,2,27,78
481,23,16,42,72,33,36,30,42,20,80,2,27,78
482,42,60,42,72,33,36,30,42,20,80,2,27,78
483,23,60,42,72,33,36,30,42,20,80,2,27,78
484,42,16,24,49,33,36,30,42,20,80,2,27,78
485,23,16,24,49,33,36,30,42,20,80,2,27,78
486,23,60,24,49,33,36,30,42,20,80,2,27,78
487,42,16,42,49,33,36,30,42,20,80,2,27,78
488,23,16,42,49,33,36,30,42,20,80,2,27,78
489,42,60,42,49,33,36,30,42,20,80,2,27,78
490,23,60,42,49,33,36,30,42,20,80,2,27,78
491,42,16,24,72,97,37,44,78,66,21,2,27,78
492,23,16,24,72,97,37,44,78,66,21,2,27,78
