,0,1,2,3,4,5,6,7,8,9,10,11,12,y_score_0.61,y_score_0.58,y_score_0.55,gbr,svr,rf,cnn,lstm
52,1,0,0,1,1,1,0,0,0,0,0,0,0,-0.0562777,0.00949305,-0.059412,0.528233,0.511902,0.518572,0.565128,0.538907
53,0,1,0,1,1,1,0,0,0,0,0,0,0,-0.03187,0.025505,-0.030179,0.614822,0.520307,0.60977,0.603215,0.557089
54,1,1,0,1,1,1,0,0,0,0,0,0,0,-0.0371972,0.0180039,-0.0438598,0.605325,0.516144,0.60977,0.592582,0.547647
55,0,0,1,1,1,1,0,0,0,0,0,0,0,-0.0498173,0.0177689,-0.0443203,0.53773,0.515074,0.518572,0.566617,0.558316
56,0,1,1,1,1,1,0,0,0,0,0,0,0,-0.0332852,0.0233574,-0.0289342,0.595633,0.515825,0.585042,0.580744,0.567703
57,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.0384726,0.016781,-0.0422601,0.586136,0.514803,0.585042,0.577362,0.566727
58,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.0621686,0.00476822,-0.0636147,0.493271,0.473379,0.461003,0.524135,0.557067
59,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.0435593,0.0130198,-0.0483631,0.579008,0.508326,0.573625,0.570282,0.562082
60,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0556146,0.0134024,-0.046957,0.502768,0.504902,0.461003,0.509768,0.589496
61,1,0,1,0,0,0,1,0,0,0,0,0,0,-0.0619939,0.00573915,-0.059102,0.493271,0.492971,0.461003,0.521906,0.577996
62,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.0391816,0.0190908,-0.0329494,0.569316,0.513199,0.548897,0.519012,0.589711
63,1,1,1,0,0,0,1,0,0,0,0,0,0,-0.044369,0.0124579,-0.0462754,0.559819,0.508509,0.548897,0.524882,0.581798
64,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.0526291,0.0152234,-0.0484954,0.502768,0.514915,0.461003,0.535282,0.579697
65,0,1,0,1,0,0,1,0,0,0,0,0,0,-0.0349375,0.0225266,-0.0311943,0.588506,0.521323,0.573625,0.541812,0.586618
66,1,1,0,1,0,0,1,0,0,0,0,0,0,-0.0402648,0.0150101,-0.0448752,0.579008,0.514705,0.573625,0.541812,0.575751
67,0,0,1,1,0,0,1,0,0,0,0,0,0,-0.0532031,0.0141591,-0.0453587,0.502768,0.513227,0.461003,0.535533,0.586359
68,1,0,1,1,0,0,1,0,0,0,0,0,0,-0.0595825,0.00654393,-0.0575038,0.493271,0.508872,0.461003,0.530061,0.586917
69,0,1,1,1,0,0,1,0,0,0,0,0,0,-0.0366713,0.019749,-0.0299726,0.569316,0.513698,0.548897,0.52693,0.589847
70,1,1,1,1,0,0,1,0,0,0,0,0,0,-0.0418587,0.0131571,-0.0432986,0.559819,0.51311,0.548897,0.528293,0.592875
71,1,0,0,0,1,0,1,0,0,0,0,0,0,-0.0626599,0.00398838,-0.0671015,0.493271,0.495263,0.451261,0.523857,0.546313
72,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.0387235,0.0197618,-0.0381693,0.588506,0.514752,0.573625,0.56741,0.564971
73,1,1,0,0,1,0,1,0,0,0,0,0,0,-0.0440506,0.0122286,-0.05185,0.579008,0.511309,0.573625,0.573277,0.55354
74,0,0,1,0,1,0,1,0,0,0,0,0,0,-0.0559928,0.0121234,-0.0506119,0.502768,0.505815,0.451261,0.534824,0.577401
75,1,0,1,0,1,0,1,0,0,0,0,0,0,-0.0623721,0.00447561,-0.0627568,0.493271,0.505136,0.451261,0.529549,0.567304
76,0,1,1,0,1,0,1,0,0,0,0,0,0,-0.03956,0.0178085,-0.0366045,0.569316,0.512711,0.548897,0.53593,0.58365
77,1,1,1,0,1,0,1,0,0,0,0,0,0,-0.0447473,0.0111873,-0.0499303,0.559819,0.512061,0.548897,0.543796,0.573831
78,0,0,0,1,1,0,1,0,0,0,0,0,0,-0.0537934,0.0134061,-0.0513758,0.502768,0.510443,0.451261,0.525169,0.564744
79,1,0,0,1,1,0,1,0,0,0,0,0,0,-0.0605091,0.00468466,-0.0633078,0.493271,0.50938,0.451261,0.513952,0.557218
80,0,1,0,1,1,0,1,0,0,0,0,0,0,-0.036102,0.0206989,-0.0340748,0.588506,0.51701,0.573625,0.553705,0.574216
81,1,1,0,1,1,0,1,0,0,0,0,0,0,-0.0414293,0.0131936,-0.0477556,0.579008,0.514778,0.573625,0.544101,0.564856
82,0,0,1,1,1,0,1,0,0,0,0,0,0,-0.0540489,0.0129743,-0.048216,0.502768,0.512641,0.451261,0.539144,0.573582
83,1,0,1,1,1,0,1,0,0,0,0,0,0,-0.0604283,0.00537456,-0.0603609,0.493271,0.512106,0.451261,0.528847,0.572732
84,0,1,1,1,1,0,1,0,0,0,0,0,0,-0.0375174,0.0185601,-0.0328299,0.569316,0.514347,0.548897,0.549079,0.582577
85,1,1,1,1,1,0,1,0,0,0,0,0,0,-0.0427047,0.0119803,-0.0461558,0.559819,0.514191,0.548897,0.540183,0.58183
